                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8146,                 2.4398,                 1.7494,                0.33743,                0.34047,                0.26713,                0.11177,                 2.1023,                 2.5056,                 2.0756,              0.0006649,              0.0006649,              0.0006649
                      2,                    1.8,                 2.0125,                 1.7828,                0.46014,                0.42119,                 0.3895,                0.19446,                 1.7872,                 3.0103,                 1.7787,              0.0012876,              0.0012876,              0.0012876
                      3,                 1.7981,                 1.9243,                 1.7613,                0.54129,                0.24903,                0.25997,                0.12036,                  2.012,                 3.0737,                  2.031,              0.0018663,              0.0018663,              0.0018663
                      4,                 1.7661,                 1.8558,                 1.7456,                 0.6214,                0.52335,                0.58144,                0.28529,                 1.8076,                 1.7616,                 1.7868,               0.001802,               0.001802,               0.001802
                      5,                 1.7214,                 1.7349,                 1.7132,                 0.5827,                0.55058,                0.55311,                0.27348,                 1.8076,                 2.3553,                 1.7979,               0.001736,               0.001736,               0.001736
                      6,                 1.6806,                 1.6674,                 1.6734,                0.62422,                0.59144,                0.64561,                0.32087,                 1.7783,                 1.7498,                  1.786,                0.00167,                0.00167,                0.00167
                      7,                 1.6529,                 1.6204,                 1.6583,                0.65328,                  0.607,                 0.6364,                0.33202,                 1.7181,                 1.5169,                 1.7618,               0.001604,               0.001604,               0.001604
                      8,                 1.6304,                 1.5515,                 1.6431,                0.59534,                0.57977,                0.60815,                0.32629,                 1.6056,                  1.798,                 1.6926,               0.001538,               0.001538,               0.001538
                      9,                 1.6192,                 1.5204,                 1.6177,                 0.6721,                0.69785,                0.74279,                0.40858,                  1.665,                 1.2712,                 1.6726,               0.001472,               0.001472,               0.001472
                     10,                 1.5978,                  1.471,                 1.5996,                  0.701,                0.72374,                0.76933,                0.41723,                 1.5592,                 1.2508,                 1.5671,               0.001406,               0.001406,               0.001406
                     11,                 1.5693,                 1.4392,                 1.5972,                0.75119,                0.75875,                0.80726,                0.44203,                 1.6063,                 1.1395,                 1.6448,                0.00134,                0.00134,                0.00134
                     12,                 1.5512,                  1.389,                 1.5818,                0.78048,                 0.7332,                0.79663,                0.45093,                 1.5524,                  1.173,                 1.5997,               0.001274,               0.001274,               0.001274
                     13,                 1.5317,                 1.3694,                 1.5639,                0.81789,                0.71652,                0.81813,                0.46845,                 1.5535,                 1.1045,                  1.599,               0.001208,               0.001208,               0.001208
                     14,                  1.529,                 1.3316,                 1.5536,                0.81029,                 0.7821,                0.84413,                0.48008,                 1.5586,                 1.0803,                  1.576,               0.001142,               0.001142,               0.001142
                     15,                 1.5046,                   1.29,                 1.5317,                0.81808,                0.76993,                0.84125,                0.47303,                  1.573,                 1.0799,                 1.5887,               0.001076,               0.001076,               0.001076
                     16,                 1.4907,                 1.2582,                 1.5269,                0.82841,                0.81718,                0.89133,                 0.5169,                 1.5343,                0.97933,                   1.53,                0.00101,                0.00101,                0.00101
                     17,                 1.4838,                 1.2385,                 1.5185,                0.83763,                0.80934,                0.88181,                0.53206,                 1.5113,                0.97335,                 1.5492,               0.000944,               0.000944,               0.000944
                     18,                 1.4652,                 1.1838,                 1.5025,                0.88718,                0.83268,                0.91236,                0.53993,                 1.4939,                0.87042,                 1.5397,               0.000878,               0.000878,               0.000878
                     19,                 1.4464,                 1.1653,                 1.4931,                0.86751,                0.82879,                0.91271,                0.55272,                 1.4568,                0.87153,                 1.5085,               0.000812,               0.000812,               0.000812
                     20,                 1.4267,                 1.1433,                 1.4793,                0.86591,                0.82879,                0.90092,                 0.5446,                 1.4281,                0.97063,                 1.4865,               0.000746,               0.000746,               0.000746
                     21,                 1.3145,                0.84836,                 1.4066,                0.90097,                0.86187,                0.93667,                0.57953,                 1.4082,                0.83113,                 1.4675,                0.00068,                0.00068,                0.00068
                     22,                 1.3055,                0.80677,                 1.4003,                0.91163,                0.88305,                0.94777,                0.59233,                 1.4029,                0.79486,                 1.4601,               0.000614,               0.000614,               0.000614
                     23,                 1.2598,                0.76403,                 1.3621,                0.87295,                0.89883,                0.94511,                0.60227,                 1.3797,                0.76069,                 1.4574,               0.000548,               0.000548,               0.000548
                     24,                 1.2429,                0.73724,                 1.3481,                0.90614,                0.90272,                0.96049,                0.62415,                 1.3533,                0.72488,                 1.4102,               0.000482,               0.000482,               0.000482
                     25,                 1.2135,                0.69078,                 1.3256,                0.91341,                0.90078,                 0.9574,                 0.6203,                 1.3281,                0.69385,                 1.3763,               0.000416,               0.000416,               0.000416
                     26,                 1.1895,                0.68137,                 1.3038,                0.93404,                0.88154,                0.96515,                0.63337,                 1.3199,                0.67275,                 1.3915,                0.00035,                0.00035,                0.00035
                     27,                 1.1687,                0.63863,                 1.2903,                0.92855,                0.91017,                0.96352,                0.64356,                 1.3161,                0.65748,                  1.381,               0.000284,               0.000284,               0.000284
                     28,                 1.1536,                0.62896,                 1.2803,                0.94074,                0.90856,                0.96624,                0.64361,                 1.3015,                0.65104,                 1.3585,               0.000218,               0.000218,               0.000218
                     29,                 1.1259,                0.60515,                 1.2585,                 0.9491,                 0.9144,                0.96952,                0.65256,                 1.2988,                 0.6272,                 1.3626,               0.000152,               0.000152,               0.000152
                     30,                 1.1084,                0.58543,                 1.2432,                 0.9474,                0.91105,                0.96783,                0.65664,                  1.293,                0.62116,                 1.3616,                8.6e-05,                8.6e-05,                8.6e-05
